            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03433111+2209301    11.08   10.41  -99.00    9.09    8.82    8.78    2.48
   03433195+2340266    11.54   10.84   10.06    9.53    9.19    9.10    3.99
   03433413+2535261    18.53   16.99   14.32   12.84   12.23   12.00    1.44
   03433440+2345429    12.35   11.47  -99.00    9.86    9.48    9.37    5.34
   03433521+2524312   -99.00   16.88   14.23   12.79   12.16   11.95  -99.00
   03433656+2312343    19.60   18.00   14.93   13.26   12.66   12.37    0.31
   03433659+2327142    15.93   14.52   12.71   11.57   10.87   10.73    3.05
   03433662+2413562    15.84   14.37   12.27   10.98   10.48   10.13    0.36
   03433666+2547007   -99.00   16.83   14.23   12.89   12.28   12.05    0.35
   03433692+2423382    15.61   14.26   12.53   11.48   10.80   10.64    1.36
   03433710+2338322   -99.00   16.97   14.25   12.77   12.14   11.87  -99.00
   03433731+2524323   -99.00   16.37   13.87   12.56   11.91   11.66  -99.00
   03433772+2332096    11.42   10.73   10.00    9.53    9.19    9.12    3.89
   03433806+2636449    15.25   13.92   12.34   11.40   10.78   10.61    9.51
   03433903+2344054   -99.00   18.05   14.95   13.19   12.53   12.27    0.31
   03434152+2338568     8.26    7.92    7.51    7.20    7.07    7.03  -99.00
   03434213+2434234    17.00   15.43   13.12   11.83   11.20   10.95    0.97
   03434286+2335412    10.02    9.52    8.94    8.53    8.32    8.23  -99.00
   03434288+2551372   -99.00   19.40   15.80   14.14   13.54   13.22  -99.00
   03434320+2504504     7.67    7.52    7.36    7.21    7.24    7.17  -99.00
   03434325+2422283     8.48    8.23    7.92    7.69    7.61    7.56  -99.00
   03434371+2429157   -99.00   16.10   13.80   12.41   11.72   11.50    3.98
   03434496+2303213   -99.00   16.83   14.17   12.69   11.99   11.73    2.32
   03434707+2604355   -99.00   17.15   14.46   12.91   12.26   12.08  -99.00
   03434748+2312424    11.32   10.52  -99.00    9.03    8.68    8.55    5.09
   03434833+2500157    12.47   11.62  -99.00    9.96    9.50    9.37    0.47
   03434841+2511241    11.73   10.89    9.99    9.33    8.96    8.83    5.71
   03434844+2502369   -99.00   17.30   14.40   12.85   12.24   11.96  -99.00
   03434860+2332218    15.36   13.99   12.33   11.39   10.75   10.56    9.87
   03434901+2543466    13.20   12.24  -99.00   10.29    9.83    9.72    6.33
         dummystring  -99.00   14.49   12.68   11.69   10.98   10.83  -99.00
   03435067+2516081    10.15    9.63  -99.00    8.51    8.28    8.21  -99.00
   03435070+2414508    12.09   11.30   10.44    9.83    9.43    9.34    5.39
   03435214+2450298    15.89   14.50   12.66   11.51   10.88   10.65    3.02
   03435386+2528301    17.79   16.15   13.71   12.35   11.72   11.47    0.35
   03435569+2425350    15.67   14.30   12.55   11.51   10.82   10.65    4.53
   03435668+2515441   -99.00   15.80   13.46   12.22   11.52   11.32  -99.00
   03435669+2459367   -99.00   16.07   13.89   12.39   11.73   11.51    3.96
   03435699+2357059    18.99   17.93   14.85   13.20   12.53   12.30    0.82
   03435727+2413204   -99.00   17.57   14.71   13.21   12.61   12.37  -99.00
   03435880+2352578    10.18    9.66    9.00    8.60    8.42    8.31  -99.00
   03440026+2433250     8.26    8.06    7.85    7.63    7.62    7.58  -99.00
   03440059+2332382    11.79   11.02   10.17    9.65    9.27    9.20    4.09
   03440063+2116555    14.05   12.98   11.68   10.78   10.19   10.05    0.50
   03440167+2351462    19.17   17.22   14.38   12.82   12.26   11.99    0.78
   03440227+2503537    17.13   15.62   13.38   12.15   11.49   11.27    4.12
   03440282+2539228   -99.00   12.96   11.65   10.74   10.09   10.01    0.21
   03440353+2430151    11.39   10.71    9.91    9.40    9.12    8.95    1.48
   03440442+2459234    11.37   10.70    9.97    9.50    9.17    9.06    4.23
   03440448+2551226   -99.00   12.84   11.41   10.53    9.96    9.85    0.54
   03440484+2416318    12.51   11.63   10.67    9.94    9.49    9.39    4.77
   03440509+2529017    13.58   12.55  -99.00   10.60   10.09   10.01    6.93
   03440879+2304477    16.85   15.43   13.21   12.00   11.34   11.11    0.57
   03440930+2308471   -99.00   18.00   15.10   13.39   12.74   12.49  -99.00
   03440959+2435222   -99.00   17.09   14.37   12.96   12.34   12.06  -99.00
   03440990+2416040    17.91   16.36   13.84   12.46   11.77   11.53    1.24
   03441075+2537384   -99.00   17.98   14.97   13.34   12.71   12.47  -99.00
   03441120+2322455    12.29   11.45   10.53    9.96    9.51    9.41    2.61
   03441190+1918194    16.66   15.10   13.10   11.95   11.25   11.05    7.41
