            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03492570+2456154    11.81   10.94   10.00    9.28    8.94    8.81  -99.00
   03492598+2414516     8.17    7.99    7.79    7.59    7.55    7.51  -99.00
   03492662+2250548   -99.00   18.23   15.22   13.40   12.72   12.51    0.98
   03492757+2424138   -99.00   18.10   15.22   13.55   12.94   12.68  -99.00
   03492763+2431542   -99.00   15.97   13.52   12.12   11.48   11.26    0.54
   03492873+2342440    12.17   11.35   10.50    9.91    9.54    9.43    2.93
   03492980+2338555   -99.00   18.30   15.20   13.56   12.96   12.70  -99.00
   03493121+2341199   -99.00   18.60   15.40   13.64   13.02   12.76  -99.00
   03493253+2355426   -99.00   17.91   15.27   13.33   12.73   12.44    0.78
   03493256+2324412   -99.00   17.92   14.85   13.21   12.64   12.35  -99.00
   03493272+2322494     9.58    9.14    8.63    8.26    8.10    8.04  -99.00
   03493279+2547471   -99.00   18.30   15.00   13.50   12.93   12.62    0.41
   03493302+2432027    18.10   16.58   13.99   12.62   11.96   11.74    1.59
   03493312+2347435    11.65   10.93   10.19    9.60    9.29    9.21    4.88
   03493491+2327169   -99.00   13.92   12.19   11.24   10.58   10.42    1.29
   03493527+2559350   -99.00   18.30   15.30   13.54   12.93   12.69    0.27
   03493544+2223265   -99.00   18.80   15.60   13.94   13.32   13.06  -99.00
   03493587+2209053   -99.00   13.40  -99.00   10.87   10.22   10.02    0.25
   03493610+2356234   -99.00   17.46   14.76   13.19   12.55   12.28    0.62
   03493629+2602166   -99.00   20.40   16.20   14.36   13.79   13.44  -99.00
   03493651+2418144   -99.00   17.23   14.68   13.32   12.70   12.43    0.68
   03493653+2417460    12.31   11.49   10.63   10.03    9.63    9.55    6.22
   03493939+2317244    11.86   11.10  -99.00    9.69    9.36    9.26    5.03
   03494092+2320298     8.35    8.14    7.91    7.70    7.66    7.65  -99.00
   03494133+2608535   -99.00   16.70   14.40   12.82   12.16   11.95  -99.00
   03494227+2427470    13.14   12.19   11.17   10.35    9.91    9.78    7.29
   03494353+2342427     6.12    6.17    6.18    6.16    6.22    6.22  -99.00
   03495035+2342202    12.33   11.49   10.63   10.07    9.70    9.60    6.93
   03495179+2118264    17.19   15.63   13.17   11.81   11.16   10.92    0.37
   03495291+2538509    10.09    9.57  -99.00    8.49    8.33    8.25  -99.00
   03495577+2444317    17.74   16.26   13.74   12.42   11.80   11.57  -99.00
   03495648+2313071    10.87   10.27    9.58    9.15    8.85    8.80    2.12
   03495660+2420566     7.63    7.55    7.48    7.35    7.37    7.35  -99.00
         dummystring    6.78    6.72    6.59    6.55    6.59    6.51  -99.00
   03495833+2342340   -99.00   15.92   13.69   12.47   11.83   11.57    1.34
   03500064+2523558    14.60   13.29   11.67   10.63    9.99    9.85    2.35
   03500156+2524019   -99.00   15.83   13.70   12.27   11.72   11.46    2.35
   03500186+2512412   -99.00   17.64   15.00   13.28   12.66   12.42  -99.00
   03500390+2358341   -99.00   17.30   14.70   13.31   12.73   12.48  -99.00
   03500423+2310447   -99.00   17.33   14.81   13.26   12.55   12.34  -99.00
   03500505+2407264    15.37   14.03   12.39   11.41   10.75   10.59    6.44
   03501225+2359453    17.12   15.49   13.04   11.70   11.08   10.85  -99.00
   03501240+2431586    14.47   13.29   11.98   10.98   10.43   10.27    5.97
   03501244+2355363   -99.00   18.15   15.29   13.05   12.39   12.12  -99.00
   03501290+2421067    16.54   15.01   12.68   11.42   10.89   10.63  -99.00
   03501526+2413363    19.51   17.54   14.64   13.22   12.63   12.38  -99.00
   03501766+2522464    10.14    9.64  -99.00    8.65    8.47    8.38  -99.00
   03502089+2428003    11.86   11.09   10.32    9.75    9.40    9.31    5.07
   03502130+2305470    12.19   11.36  -99.00    9.86    9.51    9.39    5.39
   03502130+2708398    12.14   11.33  -99.00    9.84    9.45    9.36    6.24
   03502203+2237326   -99.00   18.09   15.30   13.23   12.56   12.30    0.60
   03502291+2211181   -99.00   14.80   12.60   11.46   10.79   10.59    1.89
   03502494+2042181    16.13   14.69   12.87   11.81   11.12   10.94  -99.00
   03502734+2322452   -99.00   18.16   15.44   13.41   12.83   12.54  -99.00
   03502995+2503071    18.15   16.57   14.00   12.64   12.02   11.76  -99.00
   03503194+2208477   -99.00   16.00  -99.00   13.04   12.36   12.12  -99.00
   03503457+2430281    13.66   12.65   11.52   10.70   10.20   10.08    5.16
   03503571+2525354    13.14   12.18  -99.00   10.26    9.73    9.58    0.31
   03503890+2313028   -99.00   17.12   14.40   12.64   11.99   11.75    0.89
   03503929+2523375    13.58   12.45   11.09   10.22    9.59    9.43    0.58
   03504007+2355590    10.90   10.29    9.61    9.18    8.94    8.85    2.17
   03504348+2602284    11.86   11.15  -99.00    9.78    9.48    9.40  -99.00
   03504895+2240122   -99.00   16.21   13.48   12.20   11.48   11.27  -99.00
   03505143+2319447    13.52   12.51   11.40   10.63   10.11   10.02    7.89
   03505244+2357415     7.02    6.93    6.81    6.64    6.63    6.58  -99.00
   03505385+2232531    13.84   12.77   11.55   10.68   10.11    9.99    5.16
   03505432+2350056    12.54   11.57   10.47    9.68    9.23    9.05    5.16
   03505508+2411508    12.61   11.75  -99.00   10.12    9.74    9.63    6.28
   03505660+2535066   -99.00   16.87   14.22   12.46   11.84   11.58  -99.00
   03505741+2406310   -99.00   16.70   14.17   12.69   12.07   11.84  -99.00
   03510231+2503197    14.61   13.47   12.12   11.04   10.49   10.37  -99.00
   03510557+2444124    15.18   13.92   12.35   11.28   10.43   10.45    0.26
   03511054+2635156    15.37   13.99   12.39   11.41   10.78   10.60    6.65
   03511153+2423133   -99.00   16.15   13.59   12.19   11.60   11.30  -99.00
   03511207+2355575    16.36   14.86   12.90   11.77   11.10   10.90    4.56
   03511581+2316562    16.27   14.84   12.87   11.70   11.03   10.82  -99.00
   03511685+2349357    13.41   12.41   11.33   10.62   10.08    9.96    7.96
   03511819+2420263   -99.00   17.89   15.52   13.85   13.30   13.07  -99.00
   03511886+2603090   -99.00   16.23   13.53   12.35   11.69   11.43  -99.00
   03511906+2410134   -99.00   16.11   13.61   12.27   11.62   11.40    1.87
   03512066+1938381    18.67   17.11   14.28   12.62   12.00   11.75  -99.00
   03512381+2250293    15.64   14.27   12.52   11.45   10.78   10.60    3.66
   03512387+2206482   -99.00   12.00  -99.00   10.94   10.34   10.20    6.37
   03512388+2505528   -99.00   16.40   13.68   12.62   12.00   11.77  -99.00
   03512416+2603116    18.35   16.68   14.02   12.57   11.97   11.68    1.67
   03512440+2405147    14.74   13.53   12.08   10.94   10.28   10.28    5.47
   03512533+2353215   -99.00   14.03   12.40   11.40   10.74   10.60    7.15
   03512586+2447390   -99.00   15.83   13.58   12.05   11.46   11.19    0.31
   03512722+2431072     9.25    8.87    8.40    8.06    7.93    7.88  -99.00
   03512993+2353572    14.73   13.53   12.06   11.11   10.38   10.36    0.88
   03513640+2513408   -99.00   17.77   14.77   12.96   12.36   12.09  -99.00
   03513802+2310594    14.74   13.47   11.85   10.85   10.19   10.03    3.94
   03513903+2245010    13.16   12.20   11.13   10.44   10.01    9.84  -99.00
   03513927+2432561    13.02   12.09   11.06   10.42    9.92    9.81    4.21
   03514044+2458594    11.68   10.94   10.12    9.53    9.22    9.14    3.48
   03514208+2140061    12.42   11.57  -99.00    9.90    9.57    9.45    5.10
   03515058+2253446   -99.00   17.58   14.47   12.97   12.30   12.06  -99.00
   03515338+2423132    13.78   12.77   11.54   10.63   10.03    9.88    0.42
   03515391+2402517    18.68   16.92   13.96   12.33   11.79   11.51  -99.00
   03515450+2333317   -99.00   17.53   14.13   12.69   12.06   11.78    0.58
   03515685+2354070    10.62   10.05    9.38    8.98    8.71    8.63    4.85
   03515733+2320219    14.34   13.16   11.81   10.99   10.35   10.20    7.63
   03515751+2548315   -99.00   17.59   14.96   13.16   12.60   12.30  -99.00
   03520080+1935487    11.18   10.52  -99.00    9.27    8.98    8.87    2.45
   03520223+2439479    13.17   12.10   10.77    9.80    9.21    9.07    0.43
   03520225+2421481    16.70   15.22   13.31   12.24   11.59   11.37  -99.00
   03520361+2317215   -99.00   17.90   15.31   13.81   13.10   12.82  -99.00
   03520557+2234553   -99.00   16.13   13.69   12.38   11.72   11.48  -99.00
   03520880+2026189    13.03   11.93  -99.00    9.85    9.29    9.14  -99.00
   03521218+2622090    18.22   16.63   13.82   12.24   11.65   11.42  -99.00
   03521318+2611456    17.44   15.92   13.54   12.22   11.56   11.32  -99.00
   03521331+2608371   -99.00   16.33   14.17   12.73   12.10   11.83  -99.00
   03521499+2420237    17.12   15.61   13.36   12.14   11.40   11.19  -99.00
   03521723+2424007    11.28   10.66  -99.00    8.60    8.09    7.92  -99.00
   03521844+2200536    17.27   15.75   13.52   12.29   11.62   11.39    1.99
   03522064+2433557    16.93   15.44   13.27   12.05   11.37   11.15    0.36
   03523090+2432396   -99.00   17.56   13.93   12.45   11.81   11.53  -99.00
   03523136+2515078   -99.00   16.70   14.16   12.78   12.15   11.91  -99.00
   03523446+2230078   -99.00   15.79   13.55   12.29   11.61   11.39    1.77
   03523891+2550256   -99.00   17.80   14.80   13.13   12.50   12.22  -99.00
   03524534+2516475    15.02   13.75   12.19   11.25   10.59   10.52    5.13
   03524869+2142283    16.19   14.76   12.77   11.56   10.87   10.66    0.55
   03525170+2231331   -99.00   16.90   14.40   12.82   12.15   11.91  -99.00
   03525209+2510264   -99.00   16.01   13.73   12.38   11.75   11.53  -99.00
   03525300+2146550    12.50   11.65  -99.00    9.99    9.47    9.35    1.76
   03525424+2517435   -99.00   18.02   15.08   13.34   12.73   12.46  -99.00
   03525696+2226015   -99.00   15.94   13.69   12.45   11.84   11.57    1.29
   03525913+2454055   -99.00   14.40   12.59   11.60   10.89   10.71    2.49
   03530162+2258485   -99.00   18.10   15.10   13.48   12.79   12.54  -99.00
   03530236+2139367    11.53   10.72  -99.00    9.31    8.97    8.83    9.46
   03530452+2248050    14.88   13.63   12.13   11.18   10.54   10.38    5.44
   03530727+2547216   -99.00   20.40   16.10   14.25   13.74   13.30  -99.00
   03531015+2303109   -99.00   16.40   14.20   12.58   11.95   11.67  -99.00
   03531569+2252146    18.50   16.83   14.15   12.65   12.03   11.78  -99.00
   03532159+2358542   -99.00   16.38   14.03   12.67   12.05   11.77  -99.00
   03532369+2403542    12.30   11.49  -99.00    9.95    9.56    9.44    4.14
   03532410+2347587   -99.00   18.10   15.20   13.39   12.77   12.55    0.44
   03532482+2324151    16.63   15.12   12.79   11.49   10.79   10.60  -99.00
   03533134+2631411    12.81   11.90  -99.00    9.94    9.43    9.24    0.40
   03533550+2607083   -99.00   19.00   15.60   13.66   13.07   12.79  -99.00
   03534095+2425098   -99.00   15.72   13.82   12.50   11.83   11.58  -99.00
   03534301+2050006    16.23   14.78   12.86   11.63   10.94   10.76  -99.00
   03534758+2344310   -99.00   17.64   14.65   13.18   12.58   12.28    0.68
   03535026+2557526    11.82   11.10  -99.00    9.68    9.37    9.30  -99.00
   03535245+2237342   -99.00   17.91   14.88   12.94   12.27   12.02  -99.00
   03535282+2225068    13.19   12.15   10.93   10.11    9.55    9.41  -99.00
   03535727+2320432    15.60   14.26   12.48   11.31   10.65   10.48  -99.00
   03535812+2028496    16.90   15.38   13.14   11.83   11.16   10.92  -99.00
   03540069+2359000   -99.00   17.00   14.30   12.73   12.14   11.85  -99.00
   03540892+2420011    13.51   12.49  -99.00   10.38    9.85    9.72  -99.00
   03541301+2320510   -99.00   16.46   13.92   12.66   12.05   11.81  -99.00
   03541416+2537575   -99.00   16.41   14.22   12.91   12.28   12.01  -99.00
   03541882+2529430    14.04   12.88   11.44   10.48   10.03    9.81  -99.00
   03542159+2404323    10.29    9.75  -99.00    8.69    8.48    8.42  -99.00
   03542247+2338122   -99.00   18.00   15.00   13.47   12.82   12.57    1.55
   03542782+2123231    11.71   10.97  -99.00    9.60    9.26    9.18  -99.00
   03542795+2350075   -99.00   13.04   11.42   10.47    9.84    9.66  -99.00
   03542844+2419161    15.58   14.20   12.49   11.45   10.78   10.62  -99.00
   03543361+2540437    16.19   14.72   12.55   11.26   10.59   10.37  -99.00
   03543479+2153021    17.03   15.51   13.28   12.06   11.37   11.18  -99.00
   03544798+2512304    17.29   15.76   13.76   12.60   11.95   11.76  -99.00
   03545255+2434344   -99.00   13.10   11.25   10.64    9.99    9.83  -99.00
   03545533+2259404   -99.00   19.80   16.00   14.23   13.62   13.27  -99.00
   03545802+2514293   -99.00   16.87   14.30   12.91   12.24   11.98  -99.00
   03550896+2405028   -99.00   17.10   14.00   12.77   12.14   11.89  -99.00
   03551183+2258029   -99.00   19.90   16.00   13.92   13.23   12.92  -99.00
   03551362+1930170    18.33   16.74   14.07   12.61   11.94   11.72  -99.00
   03552067+2232088   -99.00   18.10   15.30   13.97   13.24   13.06  -99.00
   03552900+2346208    15.53   14.18  -99.00   11.42   10.78   10.59  -99.00
   03553089+2323512   -99.00   17.21   14.44   13.09   12.43   12.18    1.58
   03553193+2104462    11.83   11.04  -99.00    9.62    9.28    9.17  -99.00
   03553384+2248320    16.13   14.63   12.62   11.34   10.67   10.44  -99.00
   03553441+2358285   -99.00   19.60   15.80   14.14   13.50   13.26  -99.00
   03554636+2321162   -99.00   15.53   13.45   12.36   11.69   11.49  -99.00
   03554872+2355363   -99.00   13.79   11.69   11.33   10.64   10.44  -99.00
   03555009+2143281    18.04   16.42   13.72   12.15   11.52   11.29  -99.00
   03555603+2334021    13.75   12.68  -99.00   10.65   10.12   10.01  -99.00
   03555641+2518002   -99.00   16.23   13.83   12.65   11.94   11.72  -99.00
   03555753+2110391    18.50   16.87   14.21   12.65   12.02   11.76  -99.00
   03555838+2432598    13.77   12.68  -99.00   10.66   10.12    9.92  -99.00
   03555883+2457402   -99.00   17.80   14.70   13.04   12.39   12.15  -99.00
   03560143+2307349     9.62    9.08  -99.00    8.01    7.80    7.68  -99.00
   03560580+2226222    14.63   13.36   11.89   10.94   10.30   10.16  -99.00
   03561110+2213163    12.51   11.63  -99.00    9.91    9.52    9.41  -99.00
   03561132+2034303    18.49   16.90   14.20   12.69   12.05   11.84  -99.00
   03561230+2102270    11.57   10.86  -99.00    9.44    9.07    8.97  -99.00
   03561278+2545434    11.14   10.47  -99.00    9.17    8.91    8.83  -99.00
   03561859+2357520   -99.00   15.80   13.44   12.18   11.51   11.28  -99.00
   03562349+2449567    15.44   14.12   12.45   11.37   10.71   10.55  -99.00
   03562498+2305269   -99.00   15.15   13.07   11.97   11.30   11.08  -99.00
   03562592+2416515   -99.00   15.03   13.00   11.91   11.18   11.01    2.12
   03562619+2347036    12.13   11.30   10.45    9.85    9.51    9.39  -99.00
   03562890+2401544   -99.00   17.90   15.20   13.53   12.86   12.64    0.45
   03564658+2621007   -99.00   19.40   15.90   13.98   13.37   13.05  -99.00
   03565130+2502254    18.05   16.45   13.89   12.43   11.81   11.51  -99.00
   03565230+2510053   -99.00   20.74   16.77   14.83   14.20   13.98  -99.00
   03565272+2005011     9.12    8.76    8.40    8.01    7.97    7.87  -99.00
   03565289+2325439   -99.00   17.60   14.60   13.05   12.41   12.14  -99.00
   03565708+2448347   -99.00   16.10   13.60   12.16   11.45   11.23  -99.00
   03571684+2400332    13.86   12.79   11.53   10.66   10.08    9.94  -99.00
   03573331+2403114    13.06   12.11  -99.00   10.45    9.97    9.86  -99.00
   03573459+2255327    15.14   13.88   12.37   11.43   10.77   10.64  -99.00
   03573607+2355524    16.19   14.78   12.85   11.69   10.93   10.77  -99.00
   03574066+2516043    18.26   16.64   14.12   12.73   12.11   11.82  -99.00
   03580169+2040365    10.13    9.63  -99.00    8.44    8.25    8.20  -99.00
   03582162+2115277    12.28   11.46  -99.00    9.94    9.58    9.45  -99.00
   03585613+2327538    17.82   16.22   13.56   12.14   11.46   11.24  -99.00
   03585702+2342314    17.04   15.51   13.26   12.02   11.38   11.11  -99.00
   03590630+2503201    18.34   16.60   13.94   12.43   11.70   11.46  -99.00
   03592289+2234169    15.74   14.33   12.54   11.49   10.79   10.56  -99.00
   03592752+2307256    14.50   13.38   11.93   10.95   10.27   10.13  -99.00
   03595241+2221579    16.62   15.28   13.62   12.62   11.92   11.79  -99.00
   04003922+2644194    17.20   15.65   13.38   12.06   11.37   11.17  -99.00
   04005311+2311380    10.06    9.61  -99.00    8.68    8.56    8.49  -99.00
   04010412+2022217    17.02   15.47   13.11   11.81   11.14   10.91  -99.00
   04034065+2521349    17.61   15.94   13.62   12.28   11.56   11.31  -99.00
   04034416+2256395    10.25    9.67  -99.00    8.52    8.26    8.18  -99.00
   04043551+2507123    13.23   12.32   11.23   10.47   10.00    9.95  -99.00
   04044564+2441194    19.66   17.83   14.64   12.74   12.06   11.77  -99.00
